Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
10-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,1.1,-,9.85,35.09236231
09-06-2018,ANDHRA PRADESH,PRAKASAM,1.04,-,6.86,32.5046918
09-06-2018,ANDHRA PRADESH,VIZIANAGARAM,1.71,-,14.17,42.00904044
09-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.21,-,1.85,33.84807375
09-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.91,-,6.59,32.79113389
09-06-2018,ANDHRA PRADESH,ANANTAPUR,4.39,-,31.35,39.75698435
09-06-2018,ANDHRA PRADESH,KURNOOL,6.99,-,55.21,43.20415003
09-06-2018,ANDHRA PRADESH,KRISHNA,1.24,-,10.1,34.13003282
09-06-2018,ANDHRA PRADESH,SRIKAKULAM,3.66,-,29.23,40.71068993
09-06-2018,ANDHRA PRADESH,Y.S.R.,4.41,-,31.18,35.42013395
09-06-2018,ANDHRA PRADESH,CHITTOOR,5.29,-,35.5,36.74817575
09-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.89,-,8.01,36.77193533
09-06-2018,ANDHRA PRADESH,GUNTUR,0.2,-,1.6,37.66806101
09-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,1.32,-,11.37,36.84067472
08-06-2018,ANDHRA PRADESH,PRAKASAM,0.99,-,6.54,31.70517934
08-06-2018,ANDHRA PRADESH,VIZIANAGARAM,1.17,-,9.75,42.02270217
08-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.2,-,1.79,31.10991353
08-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.96,-,7,33.78519019
08-06-2018,ANDHRA PRADESH,ANANTAPUR,4.48,-,31.92,40.30166009
08-06-2018,ANDHRA PRADESH,KURNOOL,6.89,-,54.4,42.65024593
08-06-2018,ANDHRA PRADESH,KRISHNA,1.22,-,9.96,32.29937488
08-06-2018,ANDHRA PRADESH,SRIKAKULAM,2.71,-,22.13,40.71609506
08-06-2018,ANDHRA PRADESH,Y.S.R.,4.53,-,31.96,36.69058858
08-06-2018,ANDHRA PRADESH,CHITTOOR,5.42,-,36.28,38.024794
08-06-2018,ANDHRA PRADESH,EAST GODAVARI,0.93,-,8.34,36.46566441
08-06-2018,ANDHRA PRADESH,GUNTUR,0.12,-,1.09,35.55144702
08-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,1.45,-,12.27,37.46071131
